Date,pcf
2008-02-28,10.4151
2008-02-29,10.4151
2008-03-03,10.3503
2008-03-04,10.4056
2008-03-05,10.4403
2008-03-06,10.3879
2008-03-07,10.3879
2008-03-10,10.2106
2008-03-11,10.217
2008-03-12,10.3206
2008-03-13,10.8051
2008-03-14,10.3228
2008-03-17,10.1586
2008-03-18,10.0734
2008-03-19,9.8695
2008-03-20,9.7536
2008-03-21,9.7536
2008-03-24,9.3573
2008-03-25,9.3423
2008-03-26,9.5103
2008-03-27,9.4735
2008-03-28,9.4735
2008-03-31,8.7033
2008-04-01,8.788
2008-04-02,8.8173
2008-04-03,8.8864
2008-04-04,8.8864
2008-04-07,9.0142
2008-04-08,9.0989
2008-04-09,9.2243
2008-04-10,9.5181
2008-04-11,9.5181
2008-04-14,9.7396
2008-04-15,10.1761
2008-04-16,10.4396
2008-04-17,10.8312
2008-04-18,10.8312
2008-04-21,10.6155
2008-04-22,10.594899999999999
2008-04-23,10.6971
2008-04-24,10.6627
2008-04-25,10.6627
2008-04-28,10.4549
2008-04-29,10.5011
2008-04-30,10.5021
2008-05-01,10.5124
2008-05-02,10.5124
2008-05-05,10.5594
2008-05-06,10.7783
2008-05-07,10.836500000000001
2008-05-08,10.818200000000001
2008-05-09,10.818200000000001
2008-05-12,10.8764
2008-05-13,10.9324
2008-05-14,10.9788
2008-05-15,10.9569
2008-05-16,10.9569
2008-05-19,11.1191
2008-05-20,11.355
2008-05-21,11.2741
2008-05-22,11.0554
2008-05-23,11.0554
2008-05-26,11.0289
2008-05-27,11.1317
2008-05-28,11.0188
2008-05-29,10.8584
2008-05-30,10.8584
2008-06-02,11.0569
2008-06-03,11.0639
2008-06-04,11.0854
2008-06-05,11.1263
2008-06-06,11.1263
2008-06-09,11.4305
2008-06-10,11.5247
2008-06-11,11.6158
2008-06-12,11.4833
2008-06-13,11.4833
2008-06-16,11.5246
2008-06-17,11.4092
2008-06-18,11.3068
2008-06-19,11.1187
2008-06-20,11.1187
2008-06-23,11.3257
2008-06-24,11.1863
2008-06-25,11.1225
2008-06-26,10.9075
2008-06-27,10.9075
2008-06-30,14.1573
2008-07-01,14.3361
2008-07-02,14.4691
2008-07-03,14.4515
2008-07-04,14.4515
2008-07-07,14.2352
2008-07-08,14.151299999999999
2008-07-09,14.1045
2008-07-10,13.9673
2008-07-11,13.9673
2008-07-14,14.0026
2008-07-15,13.9025
2008-07-16,13.7572
2008-07-17,13.7611
2008-07-18,13.7611
2008-07-21,13.964
2008-07-22,14.028
2008-07-23,13.9283
2008-07-24,13.9754
2008-07-25,13.9754
2008-07-28,13.9002
2008-07-29,13.7155
2008-07-30,13.7253
2008-07-31,13.7963
2008-08-01,13.7963
2008-08-04,13.8001
2008-08-05,13.7082
2008-08-06,13.7089
2008-08-07,13.6957
2008-08-08,13.6957
2008-08-11,13.0939
2008-08-12,13.1214
2008-08-13,13.1764
2008-08-14,13.0687
2008-08-15,13.0687
2008-08-18,13.1418
2008-08-19,13.1993
2008-08-20,13.168
2008-08-21,12.919
2008-08-22,12.919
2008-08-25,12.704
2008-08-26,12.3668
2008-08-27,12.3822
2008-08-28,12.1749
2008-08-29,12.1749
2008-09-01,12.5521
2008-09-02,12.3311
2008-09-03,12.1393
2008-09-04,11.8869
2008-09-05,11.8869
2008-09-08,11.6139
2008-09-09,11.7579
2008-09-10,11.4328
2008-09-11,11.1849
2008-09-12,11.1849
2008-09-15,9.8044
2008-09-16,9.7874
2008-09-17,10.6162
2008-09-18,10.2899
2008-09-19,10.2899
2008-09-22,11.2792
2008-09-23,11.2597
2008-09-24,10.8543
2008-09-25,10.6098
2008-09-26,10.6098
2008-09-29,11.0451
2008-09-30,13.3311
2008-10-01,13.3311
2008-10-02,13.3311
2008-10-03,13.3311
2008-10-06,11.8516
2008-10-07,11.7031
2008-10-08,10.687899999999999
2008-10-09,10.9116
2008-10-10,10.9116
2008-10-13,10.9732
2008-10-14,12.0279
2008-10-15,11.5778
2008-10-16,11.1284
2008-10-17,11.1284
2008-10-20,11.333
2008-10-21,11.6694
2008-10-22,11.2533
2008-10-23,10.7475
2008-10-24,10.7475
2008-10-27,9.6388
2008-10-28,9.0908
2008-10-29,9.5463
2008-10-30,9.800699999999999
2008-10-31,9.800699999999999
2008-11-03,10.2351
2008-11-04,10.4019
2008-11-05,10.607099999999999
2008-11-06,10.498
2008-11-07,10.498
2008-11-10,9.5966
2008-11-11,9.0068
2008-11-12,8.5881
2008-11-13,8.3623
2008-11-14,8.3623
2008-11-17,7.9186
2008-11-18,8.1393
2008-11-19,8.1714
2008-11-20,8.2674
2008-11-21,8.2674
2008-11-24,7.8198
2008-11-25,7.8902
2008-11-26,8.0599
2008-11-27,8.2913
2008-11-28,8.2913
2008-12-01,8.8825
2008-12-02,8.5802
2008-12-03,8.5651
2008-12-04,8.7207
2008-12-05,8.7207
2008-12-08,8.7207
2008-12-09,8.7207
2008-12-10,8.895199999999999
2008-12-11,9.0177
2008-12-12,9.0177
2008-12-15,9.3523
2008-12-16,9.6701
2008-12-17,9.5867
2008-12-18,9.5867
2008-12-19,9.5867
2008-12-22,9.6725
2008-12-23,9.6845
2008-12-24,9.5711
2008-12-25,9.5488
2008-12-26,9.5488
2008-12-29,9.7046
2008-12-30,9.7736
2008-12-31,3.9304
2009-01-01,4.0345
2009-01-02,3.9092000000000002
2009-01-05,3.7721999999999998
2009-01-06,3.6498
2009-01-07,3.5648999999999997
2009-01-08,3.6389
2009-01-09,3.6389
2009-01-12,3.5872
2009-01-13,3.5217
2009-01-14,3.436
2009-01-15,3.2023
2009-01-16,3.2023
2009-01-19,3.0464
2009-01-20,2.8552999999999997
2009-01-21,2.6256
2009-01-22,2.7462999999999997
2009-01-23,2.7462999999999997
2009-01-26,2.808
2009-01-27,2.9596999999999998
2009-01-28,2.9596
2009-01-29,2.9937
2009-01-30,2.9937
2009-02-02,2.9072
2009-02-03,2.8779
2009-02-04,2.9515000000000002
2009-02-05,2.9592
2009-02-06,2.9592
2009-02-09,3.0404
2009-02-10,3.0168
2009-02-11,3
2009-02-12,2.9863
2009-02-13,2.9863
2009-02-16,3.0178
2009-02-17,2.9285
2009-02-18,2.8112
2009-02-19,2.7596
2009-02-20,2.7596
2009-02-23,2.7531
2009-02-24,2.7077
2009-02-25,2.6694
2009-02-26,2.5201000000000002
2009-02-27,2.5201000000000002
2009-03-02,2.8264
2009-03-03,2.7929
2009-03-04,2.7923999999999998
2009-03-05,2.8279
2009-03-06,2.8279
2009-03-09,3.1648
2009-03-10,3.1212
2009-03-11,3.0438
2009-03-12,2.9202
2009-03-13,2.9202
2009-03-16,3.0324
2009-03-17,3.1101
2009-03-18,3.1308
2009-03-19,3.1079
2009-03-20,3.1079
2009-03-23,3.2448
2009-03-24,3.4352
2009-03-25,3.349
2009-03-26,3.4212
2009-03-27,3.4212
2009-03-30,3.1421
2009-03-31,3.1311
2009-04-01,3.1179
2009-04-02,3.1218
2009-04-03,3.1218
2009-04-06,3.2828
2009-04-07,3.2692
2009-04-08,3.2386
2009-04-09,3.2608
2009-04-10,3.2608
2009-04-13,3.2716
2009-04-14,3.2926
2009-04-15,3.3085
2009-04-16,3.4142
2009-04-17,3.4142
2009-04-20,3.4873
2009-04-21,3.3524
2009-04-22,3.3655
2009-04-23,3.3858
2009-04-24,3.3858
2009-04-27,3.4383
2009-04-28,3.439
2009-04-29,3.4646
2009-04-30,3.5381
2009-05-01,3.5381
2009-05-04,3.7359
2009-05-05,3.8186999999999998
2009-05-06,3.8677
2009-05-07,3.9776
2009-05-08,3.9776
2009-05-11,4.0793
2009-05-12,4.0243
2009-05-13,4.2044
2009-05-14,4.0972
2009-05-15,4.0972
2009-05-18,4.1056
2009-05-19,4.18
2009-05-20,4.1826
2009-05-21,4.2252
2009-05-22,4.2252
2009-05-25,4.1764
2009-05-26,4.0608
2009-05-27,4.1437
2009-05-28,4.0965
2009-05-29,4.0965
2009-06-01,4.459
2009-06-02,4.5911
2009-06-03,4.6713000000000005
2009-06-04,4.6244
2009-06-05,4.6244
2009-06-08,4.5897
2009-06-09,4.5795
2009-06-10,4.6401
2009-06-11,4.6297
2009-06-12,4.6297
2009-06-15,4.6329
2009-06-16,4.5037
2009-06-17,3.416
2009-06-18,4.2024
2009-06-19,4.2024
2009-06-22,4.2046
2009-06-23,4.1322
2009-06-24,4.181
2009-06-25,4.2648
2009-06-26,4.2648
2009-06-29,4.131
2009-06-30,3.2417
2009-07-01,3.2065
2009-07-02,3.2442
2009-07-03,3.2442
2009-07-06,3.1512000000000002
2009-07-07,3.0672
2009-07-08,2.9608
2009-07-09,3.0248
2009-07-10,3.0248
2009-07-13,2.8909000000000002
2009-07-14,2.9671
2009-07-15,3.1608
2009-07-16,3.2096999999999998
2009-07-17,3.2096999999999998
2009-07-20,3.1561
2009-07-21,3.2358000000000002
2009-07-22,3.2643
2009-07-23,3.2266
2009-07-24,3.2266
2009-07-27,3.3445
2009-07-28,3.344
2009-07-29,3.3307
2009-07-30,3.3632
2009-07-31,3.3632
2009-08-03,3.3977
2009-08-04,3.4476
2009-08-05,3.4206
2009-08-06,3.4306
2009-08-07,3.4306
2009-08-10,3.4768
2009-08-11,3.5416
2009-08-12,3.4732
2009-08-13,3.5125
2009-08-14,3.5125
2009-08-17,3.4293
2009-08-18,3.4097
2009-08-19,3.3343
2009-08-20,3.3424
2009-08-21,3.3424
2009-08-24,3.4589
2009-08-25,3.4285
2009-08-26,3.4366
2009-08-27,3.4462
2009-08-28,3.4462
2009-08-31,3.556
2009-09-01,3.5981
2009-09-02,3.5584
2009-09-03,3.5526
2009-09-04,3.5526
2009-09-07,3.583
2009-09-08,3.6061
2009-09-09,3.5616
2009-09-10,3.5747999999999998
2009-09-11,3.5747999999999998
2009-09-14,3.5547
2009-09-15,3.545
2009-09-16,3.5749
2009-09-17,3.6532999999999998
2009-09-18,3.6532999999999998
2009-09-21,3.6532999999999998
2009-09-22,3.6532999999999998
2009-09-23,3.7345
2009-09-24,3.7419000000000002
2009-09-25,3.7419000000000002
2009-09-28,3.7161
