Date,pcf
2009-03-10,4.9768
2009-03-11,5.0403
2009-03-12,4.9757
2009-03-13,4.9362
2009-03-16,4.726
2009-03-17,4.7022
2009-03-18,4.7499
2009-03-19,4.7744
2009-03-20,4.9214
2009-03-23,5.0405
2009-03-24,5.0405
2009-03-25,5.2078
2009-03-26,5.3212
2009-03-27,5.4578
2009-03-30,5.4184
2009-03-31,4.7549
2009-04-01,4.7031
2009-04-02,4.7405
2009-04-03,4.8573
2009-04-06,4.8573
2009-04-07,4.9269
2009-04-08,4.9686
2009-04-09,4.9686
2009-04-10,4.9686
2009-04-13,4.9001
2009-04-14,4.9019
2009-04-15,4.8772
2009-04-16,4.9928
2009-04-17,5.0804
2009-04-20,5.0598
2009-04-21,4.9626
2009-04-22,5.0316
2009-04-23,5.022
2009-04-24,5.1316
2009-04-27,5.0672
2009-04-28,5.0155
2009-04-29,5.0077
2009-04-30,5.1222
2009-05-01,5.1222
2009-05-04,5.2209
2009-05-05,5.3772
2009-05-06,5.4126
2009-05-07,5.5071
2009-05-08,5.5194
2009-05-11,5.5886
2009-05-12,5.5463000000000005
2009-05-13,5.6156
2009-05-14,5.5743
2009-05-15,5.6874
2009-05-18,5.6121
2009-05-19,5.6933
2009-05-20,5.7556
2009-05-21,5.7407
2009-05-22,5.6989
2009-05-25,5.7412
2009-05-26,5.6823
2009-05-27,5.7877
2009-05-28,5.7664
2009-05-29,5.8952
2009-06-01,6.2828
2009-06-02,6.3601
2009-06-03,6.2915
2009-06-04,6.339
2009-06-05,6.4247
2009-06-08,6.3989
2009-06-09,6.3074
2009-06-10,6.4039
2009-06-11,6.5711
2009-06-12,6.5711
2009-06-15,6.6059
2009-06-16,6.3457
2009-06-17,6.1366
2009-06-18,6.1346
2009-06-19,6.0303
2009-06-22,6.0689
2009-06-23,5.9325
2009-06-24,6.0825
2009-06-25,6.2184
2009-06-26,6.2385
2009-06-29,6.2021
2009-06-30,8.363
2009-07-01,8.3609
2009-07-02,8.3709
2009-07-03,8.3582
2009-07-06,8.4524
2009-07-07,8.5638
2009-07-08,8.556799999999999
2009-07-09,8.6283
2009-07-10,8.6758
2009-07-13,8.6363
2009-07-14,8.6385
2009-07-15,8.718
2009-07-16,8.8887
2009-07-17,8.8887
2009-07-20,9.0368
2009-07-21,9.0841
2009-07-22,9.1699
2009-07-23,9.1684
2009-07-24,9.413499999999999
2009-07-27,9.6792
2009-07-28,9.9103
2009-07-29,10.1027
2009-07-30,9.8067
2009-07-31,9.8842
2009-08-03,9.9692
2009-08-04,10.2157
2009-08-05,10.2157
2009-08-06,10.0822
2009-08-07,9.8427
2009-08-10,10.1266
2009-08-11,10.13
2009-08-12,9.9748
2009-08-13,10.0113
2009-08-14,9.9573
2009-08-17,9.6822
2009-08-18,9.5627
2009-08-19,9.6505
2009-08-20,9.4851
2009-08-21,9.4851
2009-08-24,10.0393
2009-08-25,10.0002
2009-08-26,10.0217
2009-08-27,10.0725
2009-08-28,10.1085
2009-08-31,10.1085
2009-09-01,10.0226
2009-09-02,9.8358
2009-09-03,9.8132
2009-09-04,9.8787
2009-09-07,9.8787
2009-09-08,9.966
2009-09-09,9.8827
2009-09-10,9.9205
2009-09-11,10.0468
2009-09-14,9.8637
2009-09-15,9.7601
2009-09-16,9.6982
2009-09-17,9.7289
2009-09-18,9.7676
2009-09-21,9.7676
2009-09-22,9.7465
2009-09-23,9.9941
2009-09-24,9.9854
2009-09-25,9.925699999999999
2009-09-28,9.7964
2009-09-29,9.8356
2009-09-30,10.9525
2009-10-01,11.0623
2009-10-02,11.0267
2009-10-05,10.9792
2009-10-06,11.2078
2009-10-07,11.5152
2009-10-08,11.5347
2009-10-09,11.4515
2009-10-12,11.4204
2009-10-13,11.4132
2009-10-14,11.4397
2009-10-15,11.474
2009-10-16,11.4028
2009-10-19,11.4883
2009-10-20,11.5457
2009-10-21,11.4168
2009-10-22,11.2473
2009-10-23,11.4354
2009-10-26,11.4599
2009-10-27,11.4142
2009-10-28,11.2827
2009-10-29,11.0501
2009-10-30,11.2037
2009-11-02,11.2037
2009-11-03,11.2132
2009-11-04,11.2499
2009-11-05,11.4202
2009-11-06,11.2843
2009-11-09,11.1956
2009-11-10,11.4841
2009-11-11,11.6283
2009-11-12,11.7236
2009-11-13,11.648
2009-11-16,11.6189
2009-11-17,11.7571
2009-11-18,11.8193
2009-11-19,11.9189
2009-11-20,11.8233
2009-11-23,11.6988
2009-11-24,11.7659
2009-11-25,11.6916
2009-11-26,11.7788
2009-11-27,11.6188
2009-11-30,11.6188
2009-12-01,11.6062
2009-12-02,11.6799
2009-12-03,11.6182
2009-12-04,11.5658
2009-12-07,11.4829
2009-12-08,11.288
2009-12-09,11.1822
2009-12-10,11.2696
2009-12-11,11.38
2009-12-14,11.4272
2009-12-15,11.4156
2009-12-16,11.3845
2009-12-17,11.4657
2009-12-18,11.3613
2009-12-21,11.341
2009-12-22,11.0286
2009-12-23,11.082
2009-12-24,11.082
2009-12-25,11.082
2009-12-28,11.1077
2009-12-29,11.1901
2009-12-30,11.1901
2009-12-31,9.5341
2010-01-01,9.5341
2010-01-04,9.3881
2010-01-05,9.4788
2010-01-06,9.5451
2010-01-07,9.6275
2010-01-08,9.6288
2010-01-11,9.6595
2010-01-12,9.6911
2010-01-13,9.6614
2010-01-14,9.7243
2010-01-15,9.6976
2010-01-18,9.6412
2010-01-19,9.5658
2010-01-20,9.5616
2010-01-21,9.5616
2010-01-22,9.2703
2010-01-25,9.1119
2010-01-26,9.0569
2010-01-27,8.9526
2010-01-28,9.0867
2010-01-29,9.0421
2010-02-01,8.8168
2010-02-02,8.7672
2010-02-03,8.8341
2010-02-04,8.974
2010-02-05,8.7766
2010-02-08,8.763
2010-02-09,8.5935
2010-02-10,8.7944
2010-02-11,8.9887
2010-02-12,9.0958
2010-02-15,9.1014
2010-02-16,9.1009
2010-02-17,9.2632
2010-02-18,9.2013
2010-02-19,9.1342
2010-02-22,9.2602
2010-02-23,9.2774
2010-02-24,9.2039
2010-02-25,9.374
2010-02-26,9.4366
2010-03-01,9.5307
2010-03-02,9.4582
2010-03-03,9.4657
2010-03-04,9.327
2010-03-05,9.4604
2010-03-08,9.5639
2010-03-09,9.5959
2010-03-10,9.6122
2010-03-11,9.624
2010-03-12,9.4552
2010-03-15,9.4645
2010-03-16,9.4911
2010-03-17,9.4987
2010-03-18,9.5749
2010-03-19,9.5734
2010-03-22,9.526
2010-03-23,9.693200000000001
2010-03-24,9.7989
2010-03-25,9.8455
2010-03-26,9.888
2010-03-29,9.8844
2010-03-30,9.9537
2010-03-31,9.059
2010-04-01,9.059
2010-04-02,9.059
2010-04-05,9.1243
2010-04-06,9.3072
2010-04-07,9.39
2010-04-08,9.3452
2010-04-09,9.3452
2010-04-12,9.4491
2010-04-13,9.4223
2010-04-14,9.385
2010-04-15,9.3355
2010-04-16,9.3089
2010-04-19,9.1252
2010-04-20,8.9524
2010-04-21,9.1377
2010-04-22,9.2425
2010-04-23,9.2773
2010-04-26,9.387
2010-04-27,9.4367
2010-04-28,9.3672
2010-04-29,9.383
2010-04-30,9.3797
2010-05-03,9.3797
2010-05-04,9.3592
2010-05-05,9.0262
2010-05-06,8.994299999999999
2010-05-07,8.9109
2010-05-10,8.9109
