Date,pe
2019-03-28,18.0368
2019-03-29,18.0085
2019-04-01,18.2383
2019-04-02,18.3315
2019-04-03,18.3315
2019-04-04,18.5165
2019-04-05,18.5534
2019-04-08,18.427599999999998
2019-04-09,18.6709
2019-04-10,18.6369
2019-04-11,18.3581
2019-04-12,18.3366
2019-04-15,18.4684
2019-04-16,18.5994
2019-04-17,18.5994
2019-04-18,18.7936
2019-04-19,18.7936
2019-04-22,18.4551
2019-04-23,18.6495
2019-04-24,18.5611
2019-04-25,18.1884
2019-04-26,18.3275
2019-04-29,18.3633
2019-04-30,18.3784
2019-05-01,18.3784
2019-05-02,18.1065
2019-05-03,17.8724
2019-05-06,17.5808
2019-05-07,17.7934
2019-05-08,17.6774
2019-05-09,15.8612
2019-05-10,15.9182
2019-05-13,15.5908
2019-05-14,15.443
2019-05-15,15.0968
2019-05-16,14.818999999999999
2019-05-17,14.5914
2019-05-20,14.9016
2019-05-21,15.0108
2019-05-22,14.9256
2019-05-23,15.3497
2019-05-24,15.5502
2019-05-27,15.8072
2019-05-28,15.5825
2019-05-29,16.0445
2019-05-30,16.0445
2019-05-31,16.5992
2019-06-03,16.5992
2019-06-04,16.5992
2019-06-05,16.5992
2019-06-06,16.5992
2019-06-07,16.5992
2019-06-10,17.0038
2019-06-11,17.0069
2019-06-12,16.9505
2019-06-13,16.9133
2019-06-14,16.7878
2019-06-17,16.5515
2019-06-18,16.8141
2019-06-19,17.1735
2019-06-20,17.2681
2019-06-21,17.2542
2019-06-24,17.1261
2019-06-25,17.3687
2019-06-26,17.2283
2019-06-27,17.4559
2019-06-28,17.5285
2019-07-01,18.8013
2019-07-02,18.817
2019-07-03,18.7589
2019-07-04,18.7389
2019-07-05,18.7966
2019-07-08,18.6592
2019-07-09,18.825
2019-07-10,18.9145
2019-07-11,19.0246
2019-07-12,18.9194
2019-07-15,19.2303
2019-07-16,19.1531
2019-07-17,19.0114
2019-07-18,19.1067
2019-07-19,19.2535
2019-07-22,19.1896
2019-07-23,19.0927
2019-07-24,19.0172
2019-07-25,19.0406
2019-07-26,18.751
2019-07-29,18.7026
2019-07-30,18.912
2019-07-31,18.9281
2019-08-01,18.7179
2019-08-02,18.3996
2019-08-05,17.6301
2019-08-06,17.3228
2019-08-07,17.8235
2019-08-08,18.1544
2019-08-09,18.0498
2019-08-12,17.9099
2019-08-13,17.8918
2019-08-14,17.8798
2019-08-15,17.9365
2019-08-16,17.9342
2019-08-19,18.0181
2019-08-20,17.9458
2019-08-21,17.804
2019-08-22,17.814799999999998
2019-08-23,17.8867
2019-08-26,17.723
2019-08-27,17.883
2019-08-28,17.9033
2019-08-29,17.9541
2019-08-30,18.234
2019-09-02,18.0427
2019-09-03,17.8809
2019-09-04,17.9783
2019-09-05,18.1443
2019-09-06,18.2712
2019-09-09,18.4093
2019-09-10,18.4213
2019-09-11,18.598
2019-09-12,18.5051
2019-09-13,18.5365
2019-09-16,18.257
2019-09-17,18.2365
2019-09-18,18.3714
2019-09-19,18.2039
2019-09-20,18.167
2019-09-23,18.0551
2019-09-24,17.7369
2019-09-25,17.6995
2019-09-26,17.964199999999998
2019-09-27,17.8656
2019-09-30,17.733
2019-10-01,17.5958
2019-10-02,17.2911
2019-10-03,17.2254
2019-10-04,17.3972
2019-10-07,17.163
2019-10-08,17.3086
2019-10-09,17.2259
2019-10-10,17.212
2019-10-11,17.5026
2019-10-14,17.6135
2019-10-15,17.7029
2019-10-16,17.7668
2019-10-17,17.859
2019-10-18,17.9468
2019-10-21,18.0726
2019-10-22,18.2374
2019-10-23,18.3851
2019-10-24,18.6773
2019-10-25,18.3688
2019-10-28,18.4198
2019-10-29,18.474
2019-10-30,18.486
2019-10-31,18.1895
2019-11-01,18.1021
2019-11-04,18.0637
2019-11-05,18.4956
2019-11-06,18.2358
2019-11-07,18.079
2019-11-08,18.0888
2019-11-11,17.9606
2019-11-12,18.0628
2019-11-13,17.8749
2019-11-14,17.7442
2019-11-15,17.9106
2019-11-18,17.879
2019-11-19,18.0434
2019-11-20,18.0695
2019-11-21,17.9176
2019-11-22,17.859
2019-11-25,17.7204
2019-11-26,17.5027
2019-11-27,17.9052
2019-11-28,17.6354
2019-11-29,17.7818
2019-12-02,18.1589
2019-12-03,18.1742
2019-12-04,18.1068
2019-12-05,18.3447
2019-12-06,18.4942
2019-12-09,18.5612
2019-12-10,18.5245
2019-12-11,18.4635
2019-12-12,18.3243
2019-12-13,18.6371
2019-12-16,18.6525
2019-12-17,18.8085
2019-12-18,19.0298
2019-12-19,18.8341
2019-12-20,18.9446
2019-12-23,19.0024
2019-12-24,19.0024
2019-12-25,19.0024
2019-12-26,19.0214
2019-12-27,19.0548
2019-12-30,18.9444
2019-12-31,18.7308
2020-01-01,18.7308
2020-01-02,18.6582
2020-01-03,18.8226
2020-01-06,18.5996
2020-01-07,18.7678
2020-01-08,18.5681
2020-01-09,18.8231
2020-01-10,18.9603
2020-01-13,19.1997
2020-01-14,19.3322
2020-01-15,19.2047
