Date,pe
2014-12-23,4.4143
2014-12-24,4.41
2014-12-25,4.41
2014-12-26,4.4547
2014-12-29,4.4245
2014-12-30,4.456
2014-12-31,5.3834
2015-01-01,5.3834
2015-01-02,5.3899
2015-01-05,5.2747
2015-01-06,5.2896
2015-01-07,5.2918
2015-01-08,5.3033
2015-01-09,5.3059
2015-01-12,5.2834
2015-01-13,5.1754999999999995
2015-01-14,4.9926
2015-01-15,5.0187
2015-01-16,5.0523
2015-01-19,5.0592
2015-01-20,5.0789
2015-01-21,5.0627
2015-01-22,5.1236
2015-01-23,5.0621
2015-01-26,5.1278
2015-01-27,5.1375
2015-01-28,5.0557
2015-01-29,5.0118
2015-01-30,5.0527
2015-02-02,5.0488
2015-02-03,5.1207
2015-02-04,5.1416
2015-02-05,5.1885
2015-02-06,5.0687
2015-02-09,5.1322
2015-02-10,5.0718
2015-02-11,5.035
2015-02-12,5.1068999999999996
2015-02-13,5.1756
2015-02-16,5.1744
2015-02-17,5.1283
2015-02-18,5.138
2015-02-19,5.0923
2015-02-20,5.0632
2015-02-23,5.0084
2015-02-24,5.0041
2015-02-25,4.999
2015-02-26,4.9841999999999995
2015-02-27,4.9974
2015-03-02,5.0132
2015-03-03,5.0149
2015-03-04,5.0123
2015-03-05,5.0001
2015-03-06,4.8678
2015-03-09,4.7889
2015-03-10,4.7317
2015-03-11,4.7463
2015-03-12,4.7647
2015-03-13,4.7438
2015-03-16,4.6994
2015-03-17,4.7134
2015-03-18,4.7785
2015-03-19,4.7789
2015-03-20,4.8370999999999995
2015-03-23,4.8191
2015-03-24,4.8221
2015-03-25,4.7939
2015-03-26,4.7408
2015-03-27,4.7165
2015-03-30,4.7669
2015-03-31,10.8875
2015-04-01,11.1265
2015-04-02,11.2621
2015-04-03,11.2621
2015-04-06,11.3902
2015-04-07,11.3134
2015-04-08,11.2604
2015-04-09,11.0439
2015-04-10,11.0412
2015-04-13,10.9756
2015-04-14,11.0233
2015-04-15,11.1304
2015-04-16,11.1427
2015-04-17,11.0484
2015-04-20,11.0365
2015-04-21,11.0322
2015-04-22,11.0463
2015-04-23,11.1057
2015-04-24,11.1588
2015-04-27,11.2662
2015-04-28,11.3669
2015-04-29,11.4086
2015-04-30,11.4494
2015-05-01,11.5036
2015-05-04,11.5527
2015-05-05,11.6
